eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature (C°),Precipitation,Visibility,Wind (Beaufort scale),Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode,
S2CR_A,N/A,FALSE,45939,0.811805556,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_hour_17_minutes,55/s x 120,Audiomoth_recording,West,N/A,N/A,N/A,N/A,N55.69848,W5.28604,N/A,N/A,N/A,WGS84,GB,
S2CR_B,N/A,FALSE,45939,0.822916667,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_hour_15_minutes,55/s x 120,Audiomoth_recording,East,N/A,N/A,N/A,N/A,N55.6967,W5.28604,N/A,N/A,N/A,WGS84,GB,
S2CR_C,N/A,FALSE,45970,0.208333333,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_minute,55/s x 120,Audiomoth_recording,East,N/A,N/A,N/A,N/A,N55.6967,W5.28302,N/A,N/A,N/A,WGS84,GB,
N2CR_A,N/A,FALSE,45939,0.806944444,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_hour_22_minutes,55/s x 120,Audiomoth_recording,West,N/A,N/A,N/A,N/A,N55.70761,W5.27951,N/A,N/A,N/A,WGS84,GB,
N1CR_C,N/A,FALSE,45970,0.791666667,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",2_hours,55/s x 120,Audiomoth_recording,West,N/A,N/A,N/A,N/A,N55.70797,W5.27637,N/A,N/A,N/A,WGS84,GB,
S3CR_C,N/A,FALSE,09/09/2025,19:00,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",2_hours,55/s x 120,Audiomoth_recording,East,N/A,N/A,N/A,N/A,?,?,N/A,N/A,N/A,WGS84,GB,
N2CR_A,N/A,FALSE,09/09/2025,19:30,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_hour_28_minutes,55/s x 120,Audiomoth_recording,East,N/A,N/A,N/A,N/A,N55.70256,W5.26849,N/A,N/A,N/A,WGS84,GB,
N1CR_B,N/A,FALSE,09/11/2025,19:22,"Audiomoth, settings: 192kHz, med gain, 55/s recording 1/s rest over two hours; total of 120 samples. Data analysed using batdetect2 package in python and combined into one csv file using R studio, detection probability threshold of 0.3, class probability threshold of 0.5",1_hour_28_minutes,55/s x 120,Audiomoth_recording,East,N/A,N/A,N/A,N/A,N55.70849,W5.27193,N/A,N/A,N/A,WGS84,GB,
S3TIP_D,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.949,W005 17.042,,,,WGS84,GB,
S3TIP_E,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIP_F,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIP_G,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIP_H,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.862,W005 16.861,,,,WGS84,GB,
S3TIP_I,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.843,W005 16.821,,,,WGS84,GB,
S3TIP_J,S3TIP,TRUE,09/09/2025,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.828,W005 16.810,,,,WGS84,GB,
S3TIN_A,S3TIN,TRUE,10/09/2025,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 42.027,W005 17.134,,,,WGS84,GB,
